1442115516705	1-2	33.0
1442115516705	2-3	23.0
1442115516705	3-4	47.0
1442115516705	4-5	52.0
1442115516705	5-1	97.0
1442115517705	1-2	33.0
1442115517705	2-3	24.0
1442115517705	3-4	48.0
1442115517705	4-5	52.0
1442115517705	5-1	98.0
1442115518705	1-2	32.0
1442115518705	2-3	25.0
1442115518705	3-4	48.0
1442115518705	4-5	52.0
1442115518705	5-1	100.0
1442115519705	1-2	32.0
1442115519705	2-3	25.0
1442115519705	3-4	48.0
1442115519705	4-5	53.0
1442115519705	5-1	101.0
1442115520705	1-2	32.0
1442115520705	2-3	26.0
1442115520705	3-4	49.0
1442115520705	4-5	53.0
1442115520705	5-1	103.0
1442115521705	1-2	32.0
1442115521705	2-3	26.0
1442115521705	3-4	50.0
1442115521705	4-5	53.0
1442115521705	5-1	104.0
1442115522705	1-2	32.0
1442115522705	2-3	27.0
1442115522705	3-4	50.0
1442115522705	4-5	53.0
1442115522705	5-1	106.0
1442115523705	1-2	32.0
1442115523705	2-3	28.0
1442115523705	3-4	50.0
1442115523705	4-5	53.0
1442115523705	5-1	108.0
1442115524705	1-2	31.0
1442115524705	2-3	29.0
1442115524705	3-4	50.0
1442115524705	4-5	54.0
1442115524705	5-1	110.0
1442115525705	1-2	31.0
1442115525705	2-3	29.0
1442115525705	3-4	51.0
1442115525705	4-5	54.0
1442115525705	5-1	112.0
1442115526705	1-2	30.0
1442115526705	2-3	30.0
1442115526705	3-4	51.0
1442115526705	4-5	53.0
1442115526705	5-1	112.0
1442115527705	1-2	29.0
1442115527705	2-3	31.0
1442115527705	3-4	51.0
1442115527705	4-5	53.0
1442115527705	5-1	114.0
1442115528705	1-2	29.0
1442115528705	2-3	31.0
1442115528705	3-4	51.0
1442115528705	4-5	53.0
1442115528705	5-1	115.0
1442115529705	1-2	28.0
1442115529705	2-3	31.0
1442115529705	3-4	51.0
1442115529705	4-5	53.0
1442115529705	5-1	116.0
1442115530705	1-2	27.0
1442115530705	2-3	31.0
1442115530705	3-4	52.0
1442115530705	4-5	53.0
1442115530705	5-1	117.0
1442115531705	1-2	27.0
1442115531705	2-3	32.0
1442115531705	3-4	51.0
1442115531705	4-5	53.0
1442115531705	5-1	118.0
1442115532705	1-2	26.0
1442115532705	2-3	32.0
1442115532705	3-4	52.0
1442115532705	4-5	53.0
1442115532705	5-1	119.0
1442115533705	1-2	25.0
1442115533705	2-3	32.0
1442115533705	3-4	52.0
1442115533705	4-5	54.0
1442115533705	5-1	121.0
1442115534705	1-2	24.0
1442115534705	2-3	32.0
1442115534705	3-4	52.0
1442115534705	4-5	54.0
1442115534705	5-1	122.0
1442115535705	1-2	24.0
1442115535705	2-3	33.0
1442115535705	3-4	52.0
1442115535705	4-5	53.0
1442115535705	5-1	123.0
1442115536705	1-2	23.0
1442115536705	2-3	33.0
1442115536705	3-4	52.0
1442115536705	4-5	53.0
1442115536705	5-1	124.0
1442115537705	1-2	23.0
1442115537705	2-3	33.0
1442115537705	3-4	52.0
1442115537705	4-5	53.0
1442115537705	5-1	124.0
1442115538705	1-2	22.0
1442115538705	2-3	33.0
1442115538705	3-4	53.0
1442115538705	4-5	52.0
1442115538705	5-1	125.0
1442115539705	1-2	22.0
1442115539705	2-3	33.0
1442115539705	3-4	52.0
1442115539705	4-5	52.0
1442115539705	5-1	127.0
1442115540705	1-2	21.0
1442115540705	2-3	34.0
1442115540705	3-4	52.0
1442115540705	4-5	52.0
1442115540705	5-1	128.0
1442115541705	1-2	21.0
1442115541705	2-3	34.0
1442115541705	3-4	52.0
1442115541705	4-5	52.0
1442115541705	5-1	129.0
1442115542705	1-2	20.0
1442115542705	2-3	34.0
1442115542705	3-4	53.0
1442115542705	4-5	52.0
1442115542705	5-1	130.0
1442115543705	1-2	20.0
1442115543705	2-3	35.0
1442115543705	3-4	53.0
1442115543705	4-5	52.0
1442115543705	5-1	131.0
1442115544705	1-2	19.0
1442115544705	2-3	36.0
1442115544705	3-4	53.0
1442115544705	4-5	51.0
1442115544705	5-1	132.0
1442115545705	1-2	19.0
1442115545705	2-3	36.0
1442115545705	3-4	53.0
1442115545705	4-5	51.0
1442115545705	5-1	133.0
1442115546705	1-2	18.0
1442115546705	2-3	36.0
1442115546705	3-4	53.0
1442115546705	4-5	51.0
1442115546705	5-1	135.0
1442115547705	1-2	18.0
1442115547705	2-3	37.0
1442115547705	3-4	54.0
1442115547705	4-5	51.0
1442115547705	5-1	136.0
1442115548705	1-2	18.0
1442115548705	2-3	37.0
1442115548705	3-4	54.0
1442115548705	4-5	51.0
1442115548705	5-1	137.0
1442115549705	1-2	17.0
1442115549705	2-3	38.0
1442115549705	3-4	53.0
1442115549705	4-5	51.0
1442115549705	5-1	138.0
1442115550705	1-2	17.0
1442115550705	2-3	38.0
1442115550705	3-4	54.0
1442115550705	4-5	51.0
1442115550705	5-1	139.0
1442115551705	1-2	17.0
1442115551705	2-3	38.0
1442115551705	3-4	54.0
1442115551705	4-5	51.0
1442115551705	5-1	141.0
1442115552705	1-2	17.0
